tempo_s,distancia_cm,altura_cm,velocidade_teorica_cm_s
0.00,3.17,10.83,145.75
0.50,3.09,10.91,146.33
1.00,3.64,10.36,142.60
1.50,3.72,10.28,142.01
2.00,3.48,10.52,143.66
2.50,3.64,10.36,142.60
3.00,3.79,10.21,141.53
3.50,3.93,10.07,140.58
4.00,4.03,9.97,139.86
4.50,4.18,9.82,138.77
5.00,4.34,9.66,137.68
5.50,4.48,9.52,136.70
6.00,4.60,9.40,135.83
6.50,4.73,9.27,134.84
7.00,4.89,9.11,133.71
7.50,4.99,9.01,132.95
8.00,5.15,8.85,131.81
8.50,5.30,8.70,130.65
9.00,5.39,8.61,130.01
9.50,5.54,8.46,128.84
10.00,5.64,8.36,128.05
10.50,5.80,8.20,126.87
11.00,5.49,8.51,129.23
11.50,5.59,8.41,128.45
12.00,6.14,7.86,124.18
12.50,6.24,7.76,123.37
13.00,6.40,7.60,122.14
13.50,6.50,7.50,121.31
14.00,6.60,7.40,120.47
14.50,6.76,7.24,119.21
15.00,6.86,7.14,118.36
15.50,7.36,6.64,114.16
16.00,7.91,6.09,109.34
16.50,7.61,6.39,111.93
17.00,7.70,6.30,111.18
17.50,8.27,5.73,106.06
18.00,7.96,6.04,108.88
18.50,7.65,6.35,111.63
19.00,8.16,5.84,107.01
19.50,8.32,5.68,105.59
20.00,8.01,5.99,108.42
20.50,8.06,5.94,107.95
21.00,8.15,5.85,107.17
21.50,8.25,5.75,106.22
22.00,8.35,5.65,105.27
22.50,8.06,5.94,107.95
23.00,8.56,5.44,103.33
23.50,8.66,5.34,102.35
24.00,8.71,5.29,101.86
24.50,8.40,5.60,104.79
25.00,8.51,5.49,103.82
25.50,8.61,5.39,102.84
26.00,9.06,4.94,98.50
26.50,8.76,5.24,101.36
27.00,8.87,5.13,100.36
27.50,8.92,5.08,99.85
28.00,9.02,4.98,98.84
28.50,9.06,4.94,98.50
29.00,9.45,4.55,94.49
29.50,9.26,4.74,96.43
30.00,9.31,4.69,95.90
30.50,9.31,4.69,95.90
31.00,9.36,4.64,95.37
31.50,9.86,4.14,90.11
32.00,9.91,4.09,89.55
32.50,9.98,4.02,88.80
33.00,9.67,4.33,92.14
33.50,9.71,4.29,91.78
34.00,9.78,4.22,91.04
34.50,9.81,4.19,90.67
35.00,9.86,4.14,90.11
35.50,10.31,3.69,85.12
36.00,10.38,3.62,84.33
36.50,10.46,3.54,83.32
37.00,10.12,3.88,87.27
37.50,10.17,3.83,86.69
38.00,10.17,3.83,86.69
38.50,10.22,3.78,86.10
39.00,10.26,3.74,85.71
39.50,10.72,3.28,80.24
40.00,10.77,3.23,79.60
40.50,10.82,3.18,78.97
41.00,10.86,3.14,78.54
41.50,10.51,3.49,82.71
42.00,10.56,3.44,82.10
42.50,10.62,3.38,81.48
43.00,10.62,3.38,81.48
43.50,10.67,3.33,80.86
44.00,11.08,2.92,75.70
44.50,11.13,2.87,75.04
45.00,11.16,2.84,74.59
45.50,11.22,2.78,73.91
46.00,11.27,2.73,73.22
46.50,11.32,2.68,72.53
47.00,11.32,2.68,72.53
47.50,10.96,3.04,77.24
48.00,11.37,2.63,71.83
48.50,11.03,2.97,76.37
49.00,11.03,2.97,76.37
49.50,11.08,2.92,75.70
50.00,11.06,2.94,75.93
50.50,11.52,2.48,69.69
51.00,11.52,2.48,69.69
51.50,11.52,2.48,69.69
52.00,11.58,2.42,68.96
52.50,11.56,2.44,69.20
53.00,11.63,2.37,68.22
53.50,12.02,1.98,62.29
54.00,12.07,1.93,61.48
54.50,12.07,1.93,61.48
55.00,12.13,1.87,60.65
55.50,12.13,1.87,60.65
56.00,11.78,2.22,65.97
56.50,11.78,2.22,65.97
57.00,11.78,2.22,65.97
57.50,11.76,2.24,66.22
58.00,11.78,2.22,65.97
58.50,11.83,2.17,65.20
59.00,11.42,2.58,71.12
59.50,11.42,2.58,71.12
60.00,11.42,2.58,71.12
60.50,11.42,2.58,71.12
61.00,11.42,2.58,71.12
61.50,11.42,2.58,71.12
62.00,11.42,2.58,71.12
62.50,11.42,2.58,71.12
63.00,11.47,2.53,70.41
63.50,11.47,2.53,70.41
64.00,11.47,2.53,70.41
64.50,11.47,2.53,70.41
65.00,11.47,2.53,70.41
65.50,11.47,2.53,70.41
66.00,11.47,2.53,70.41
66.50,11.47,2.53,70.41
67.00,11.47,2.53,70.41
67.50,11.47,2.53,70.41
68.00,11.47,2.53,70.41
68.50,11.47,2.53,70.41
69.00,11.47,2.53,70.41
69.50,11.47,2.53,70.41
70.00,11.47,2.53,70.41
70.50,11.52,2.48,69.69
71.00,11.94,2.06,63.63
71.50,11.94,2.06,63.63
72.00,11.94,2.06,63.63
72.50,11.52,2.48,69.69
73.00,11.52,2.48,69.69
73.50,11.52,2.48,69.69
74.00,11.52,2.48,69.69
74.50,11.52,2.48,69.69
75.00,11.52,2.48,69.69
75.50,11.52,2.48,69.69
76.00,11.52,2.48,69.69
76.50,11.51,2.49,69.93
77.00,11.52,2.48,69.69
77.50,11.94,2.06,63.63
78.00,11.94,2.06,63.63
78.50,11.92,2.08,63.89
79.00,11.52,2.48,69.69
79.50,11.92,2.08,63.89
